division,team,team_wikipedia_url,qb_name,qb_wikipedia_url,qb_image_url
NFC West,Arizona Cardinals,http://en.wikipedia.org/wiki/Arizona_Cardinals,Carson Palmer,http://en.wikipedia.org/wiki/Carson_Palmer,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Carson_Palmer_2015.JPG/220px-Carson_Palmer_2015.JPG
NFC South,Atlanta Falcons,http://en.wikipedia.org/wiki/Atlanta_Falcons,Matt Ryan,http://en.wikipedia.org/wiki/Matt_Ryan,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Matt_Ryan_2015.jpg/250px-Matt_Ryan_2015.jpg
AFC North,Baltimore Ravens,http://en.wikipedia.org/wiki/Baltimore_Ravens,Joe Flacco,http://en.wikipedia.org/wiki/Joe_Flacco,http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/JoeFlacco09232012.JPG/275px-JoeFlacco09232012.JPG
AFC North,Baltimore Ravens,http://en.wikipedia.org/wiki/Baltimore_Ravens,Matt Schaub,http://en.wikipedia.org/wiki/Matt_Schaub,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Matt_Schaub_%2820546233132%29.jpg/250px-Matt_Schaub_%2820546233132%29.jpg
AFC North,Baltimore Ravens,http://en.wikipedia.org/wiki/Baltimore_Ravens,Jimmy Clausen,http://en.wikipedia.org/wiki/Jimmy_Clausen,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jimmy_Clausen_Ravens_2015.jpg/200px-Jimmy_Clausen_Ravens_2015.jpg
AFC North,Baltimore Ravens,http://en.wikipedia.org/wiki/Baltimore_Ravens,Ryan Mallett,http://en.wikipedia.org/wiki/Ryan_Mallett,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ryan_Mallett_2015.jpg/220px-Ryan_Mallett_2015.jpg
AFC East,Buffalo Bills,http://en.wikipedia.org/wiki/Buffalo_Bills,Tyrod Taylor,http://en.wikipedia.org/wiki/Tyrod_Taylor,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tyrod_Taylor_against_the_Texans.jpg/250px-Tyrod_Taylor_against_the_Texans.jpg
AFC East,Buffalo Bills,http://en.wikipedia.org/wiki/Buffalo_Bills,EJ Manuel,http://en.wikipedia.org/wiki/EJ_Manuel,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/EJ_Manuel.jpg/250px-EJ_Manuel.jpg
AFC East,Buffalo Bills,http://en.wikipedia.org/wiki/Buffalo_Bills,Matt Cassel,http://en.wikipedia.org/wiki/Matt_Cassel,http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Matt_Cassel_Chiefs_2010_%28cropped%29.jpg/250px-Matt_Cassel_Chiefs_2010_%28cropped%29.jpg
NFC South,Carolina Panthers,http://en.wikipedia.org/wiki/Carolina_Panthers,Cam Newton,http://en.wikipedia.org/wiki/Cam_Newton,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Cam_Newton_2014.jpg/220px-Cam_Newton_2014.jpg
